NAME OF THE COMPANY,LOCATION,INDUSTRY,INTEREST RATE
"  Media Moments, Bangalore, Karnataka, India ",Bengaluru,Marketing and Advertising,2
Net r tech solutions,Hyderabad,Information Technology and Services,2
Maximus human resources,Bengaluru,Human Resource,1
Y-axis overseas,Hyderabad,Lega Services,2
Sharp intelligence,Banglore,House Keeping,2
Toucon Consulting,Ahmedabad,Staffing and Recruiting,1
Techvolt Software Pvt ltd,Coimbatore,Information Technology and Services,2
TheOther 2 Thirds Consulting LLP,Mumbai,Management Consulting,2
Angika Technologies ,Bengaluru,Information Technology and Services,2
Teleone consumers product pvt ltd,New Delhi,"Health, Wellness & Fitness",1
PLuchi world private ltd,New Delhi,Retail,2
Skill-lync,CA,E-Learning,1
Mackay communications,North Carolina,Maritime,1
Aarthi scans and labs,Chennai,Hospital and Health Care,1
TIS INDIA,Noida,Marketing,1
MOKsha creative,New Delhi,Creative Content,1
Amber times,Mumbai,E-commerce,3
"BYJU'S , Bangalore, India ",Banglore,E-learning,2
Valtech India Systems Private Ltd.,Banglore,Digital agency,1
Medi Analytika India pvt ltd,Mumbai,Manufacturing,1
2Coms Consulting Pvt Ltd.,Pune,Human Resources,1
BIRLASOFT LIMITED,Pune,Digital agency,1
Oracle Cloud Infrastructure (OCI) Networking Organization.,CA,Information Technology and Services,2
pr websolution,Ahmedabad,Website design,3
Azym technologies,Alappuzha,Cloud solutions,1
chillibreeze solution pvt ltd,Shillong,Powerpoint solutions,3
Sfumato graphica,Morbi,Branding and advertising,2
SGC IT Solutions Pvt Ltd. ,Hyderabad,Information Technology and Services,1
it enhance,Mumbai,Information Technology and Services,1
Circle IT Solutions Pvt Ltd,Hyderabad,Information Technology and Services,2
hh group,Mumbai,Health care,4
MANGALAYATAN UNIVERSITY,Beswan,University,1
Space consultants,Western Australia,Oil and Energy,1
DPMI,Delhi,Paramedical and Healthcare Institute,1
inspire acdaemy,Mumbai,Airlines,1
right fit resources,Bhubaneshwar,Human Resources,1
Shieldbyte infosec pvt ltd,Mumbai,Information Services,2
Bhumi HR Consultancy,Mumbai,Consumer Services,1
Charak Pharma Pvt. Ltd,Mumbai,Pharmaceuticals,2
Expertrons,Mumbai,E-learning,1
I-SOFTZONE,Indore,Software Development,3
Ideal crew services,Pune,HR,1
GIBF Associates Pvt. Ltd,Delhi,Information Services,1
RANDSTAD INDIA PVT LTD,Lucknow,Staffing and Recruiting,1
Inspiration manpower consultancy pvt. Ltd. ,Bangalore,Human Resources,1
Infosearch BPO services pvt. Ltd. ,Chennai,Outsourcing/Offshoring,2
Hinduja Housing Finance Limited,Chennai,Financial Services,2
One Degree North Human Resource,Bangalore,Human Resources,1
TECH MAHINDRA LIMITED,Pune,InformationTechnology and Services,1
Syneos Health Clinical,North Carolina,Pharmaceuticals,1
ZIMEDCODE,Chennai,Hospital and Health Care,2
Fair Garden Solution,Raipur,Gardening services,1
Open Designs,Chennai,Digital agency,1
HCL Technologies Limited,Noida,Information Technology and Services,1
Outpace Consulting Services Private Limited Hiring for TCS,Gurgaon,Human Resources,1
 Net Access India Limited (Murugappa Group),Chennai,IT infrastructure management,2
EClerx Services Ltd.,Mumbai,IT consultation,1
Jain Engineers,Mumbai,Construction,2
Global Immigration Consultancy Inc.,Mumbai,Consultation,1
Arcade Visa Service Pvt Ltd,Delhi,Consultation,1
Izago Immigration Advisors Pvt Ltd,Gurugram,Consultation,2
KEEPMEFIT Wellness Private Limited,Chennai,"Health, Wellness and Fitness",1
Arachnomesh Technologies Private Limited,Delhi,Web design,2
Bambinos,Banglore,E-learning,1
Fusion Apps Consulting Limited,UK,Information Technology and Services,1
Equinox Research,Mumbai,Computer Support and services,2
Kelly Services India pvt. Ltd. ,Pune,Human Resources,1
Career here staffing solutions,Pune,Human Resources,1
Gautam Consultancy,Thane,Consultation,1
Morpheus Human Consulting,Mumbai,Consultation,1
JAG KAMAL PLACEMENTS,New Delhi,Human Resources,1
CRESCENT TECHNO SOLUTIONS PVT. LTD.,Mumbai,Computer consultation,2
ASTAL INTERBUILD PRIVATE LIMITED,Banglore,Manufacturing,1
SAI SERVICE PRIVATE LIMITED (MARUTI SUZUKI),Mumbai,Manufacturing,3
SUNRISE HR SOLUTIONS,Faridabad,Human Resources,1
Chromaprint India Pvt Ltd,Coimbatore,Printing,2
Foursis Technical Solution,Rajkot,Stafffing and Recruiting,1
Brick & bolt,Bengaluru,Internet,1
Miles education pvt ltd,Mumbai,Coaching,2
Hr desire,Mumbai,Stafffing and Recruiting,1
Dyn pro india pvt. Ltd,Pune,Software Development,1
Klaxon india pvt. Ltd,Banglore,Stafffing and Recruiting,2
Sharp intelligence,Banglore,Housekeeping,2
Kohinoor electronics,Mumbai,Retail,2
Ineos sty resolution,Vadodara,Chemicals,2
Acrospire education,Polasara,Coaching,2